id,mean_sim,max_sim,min_sim,std_sim,range_sim,sentence_length,avg_word_length,num_clauses,num_punct,num_nouns,num_verbs,num_adjs,perplexity,thang Bloom
1,0.885360062122345,0.9529826045036316,0.7537933588027954,0.0930438339710235,0.1991892457008361,8,6.25,0,0,4,1,0,1.5584259768626698,Remember
2,0.8916252255439758,0.9041515588760376,0.8822953701019287,0.0092045562341809,0.0218561887741088,19,5.0,0,0,7,8,0,1.35863355276057,Understand
3,0.9191593527793884,0.9250386953353882,0.911630392074585,0.0055968188680708,0.0134083032608032,11,5.454545454545454,0,0,4,3,1,1.2540407411918533,Remember
4,0.8048878312110901,0.8275036811828613,0.7852839231491089,0.017367223277688,0.0422197580337524,11,5.818181818181818,0,0,5,3,0,1.1534616466812204,Remember
5,0.7600305676460266,0.8030585050582886,0.7300614714622498,0.0311987195163965,0.0729970335960388,8,4.375,1,0,2,1,1,1.040243291918128,Remember
6,0.9172732830047609,0.9262940883636476,0.9012975692749025,0.0113279754295945,0.0249965190887451,67,5.08955223880597,7,0,26,11,9,1.0508318869332616,Remember
7,0.9063674807548524,0.907680869102478,0.9050540924072266,0.0013133883476257,0.0026267766952514,6,6.666666666666667,0,0,3,3,0,1.446315775548246,Remember
8,0.7797444462776184,0.8404831886291504,0.7227824926376343,0.0481252670288085,0.1177006959915161,10,5.6,0,0,4,3,0,1.078360280583576,Remember
9,0.9625943303108216,0.9860034584999084,0.9466129541397096,0.0169171020388603,0.0393905043601989,80,4.7,4,0,34,13,8,1.086012990639832,Analyze
10,0.830062210559845,0.8829883337020874,0.7731361389160156,0.0449360758066177,0.1098521947860717,10,5.6,0,0,4,3,0,1.7176103040064414,Remember
11,0.7893252372741699,0.8424234390258789,0.7563090324401855,0.0379155874252319,0.0861144065856933,9,5.444444444444445,0,0,4,1,0,1.2735804449179158,Understand
12,0.8719390034675598,0.9084620475769044,0.8238842487335205,0.0354785025119781,0.0845777988433837,12,4.583333333333333,2,0,6,1,1,1.0939616572646282,Understand
13,0.9748818278312684,0.9811944961547852,0.971150279045105,0.0044884048402309,0.0100442171096801,23,4.956521739130435,1,0,8,8,1,1.0525280803009776,Remember
