Title,Link
Trắc nghiệm Lịch Sử 9 Bài 1 (có đáp án): Liên Xô và các nước Đông Âu từ 1945 đến giữa những năm 70 của thế kỉ XX,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-1-co-dap-an-lien-xo-va-cac-nuoc-dong-au-tu-1945-den-giua-nhung-nam-70-cua
Trắc nghiệm Lịch Sử 9 Bài 2 (có đáp án): Liên Xô và các nước Đông Âu từ giữa những năm 70 đến đầu những năm 90 của thế kỉ XX,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-2-co-dap-an-lien-xo-va-cac-nuoc-dong-au-tu-giua-nhung-nam-70-den-dau-nhung
Trắc nghiệm Lịch Sử 9 Bài 3 (có đáp án): Quá trình phát triển của phong trào giải phóng dân tộc và sự tan rã của hệ thống thuộc địa,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-3-co-dap-an-qua-trinh-phat-trien-cua-phong-trao-giai-phong-dan-toc-va-su-t
Trắc nghiệm Lịch Sử 9 Bài 4 (có đáp án): Các nước Châu Á,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-4-co-dap-an-cac-nuoc-chau-a
Trắc nghiệm Lịch Sử 9 Bài 5 (có đáp án): Các nước Đông Nam Á,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-5-co-dap-an-cac-nuoc-dong-nam-a
Trắc nghiệm Lịch Sử 9 Bài 6 (có đáp án): Các nước Châu Phi,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-6-co-dap-an-cac-nuoc-chau-phi
Trắc nghiệm Lịch Sử 9 Bài 7 (có đáp án): Các nước Mỹ Latinh,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-7-co-dap-an-cac-nuoc-my-latinh
Trắc nghiệm Lịch Sử 9 Bài 8 (có đáp án): Nước Mĩ,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-8-co-dap-an-nuoc-mi
Trắc nghiệm Lịch Sử 9 Bài 9 (có đáp án): Nhật Bản,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-9-co-dap-an-nhat-ban
Trắc nghiệm Lịch Sử 9 Bài 10 (có đáp án): Các nước Tây Âu,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-10-co-dap-an-cac-nuoc-tay-au
Trắc nghiệm Lịch Sử 9 Bài 11 (có đáp án): Trật tự thế giới mới sau chiến tranh thế giới thứ 2,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-11-co-dap-an-trat-tu-the-gioi-moi-sau-chien-tranh-the-gioi-thu-2
Trắc nghiệm Lịch Sử 9 Bài 12 (có đáp án): Những thành tựu chủ yếu và ý nghĩa lịch sử của cuộc cách mạng khoa học – kĩ thuật,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-12-co-dap-an-nhung-thanh-tuu-chu-yeu-va-y-nghia-lich-su-cua-cuoc-cach-mang
Trắc nghiệm Lịch Sử 9 Bài 13 (có đáp án): Tổng kết lịch sử thế giới từ sau năm 1945 đến nay,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-13-co-dap-an-tong-ket-lich-su-the-gioi-tu-sau-nam-1945-den-nay
Trắc nghiệm Lịch Sử 9 Bài 14 (có đáp án): Việt Nam sau chiến tranh thế giới thứ nhất,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-14-co-dap-an-viet-nam-sau-chien-tranh-the-gioi-thu-nhat
Trắc nghiệm Lịch Sử 9 Bài 15 (có đáp án): Phong trào cách mạng Việt Nam sau chiến tranh thế giới thứ nhất (1919-1925),https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-15-co-dap-an-phong-trao-cach-mang-viet-nam-sau-chien-tranh-the-gioi-thu-nh
Trắc nghiệm Lịch Sử 9 Bài 16 (có đáp án): Hoạt động của Nguyễn Ái Quốc ở nước ngoài những năm 1919 – 1925,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-16-co-dap-an-hoat-dong-cua-nguyen-ai-quoc-o-nuoc-ngoai-nhung-nam-1919-1925
Trắc nghiệm Lịch Sử 9 Bài 17 (có đáp án): Cách mạng Việt Nam trước khi Đảng cộng sản ra đời,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-17-co-dap-an-cach-mang-viet-nam-truoc-khi-dang-cong-san-ra-doi
Trắc nghiệm Lịch Sử 9 Bài 18 (có đáp án): Đảng cộng sản Việt Nam ra đời,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-18-co-dap-an-dang-cong-san-viet-nam-ra-doi
Trắc nghiệm Lịch Sử 9 Bài 19 (có đáp án): Phong trào cách mạng những năm 1930 – 1935,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-19-co-dap-an-phong-trao-cach-mang-nhung-nam-1930-1935
Trắc nghiệm Lịch Sử 9 Bài 20 (có đáp án): Cuộc vận động dân chủ trong những năm 1936 – 1939,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-20-co-dap-an-cuoc-van-dong-dan-chu-trong-nhung-nam-1936-1939
Trắc nghiệm Lịch Sử 9 Bài 21 (có đáp án): Việt Nam trong những năm 1939 -1945,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-21-co-dap-an-viet-nam-trong-nhung-nam-1939-1945
Trắc nghiệm Lịch Sử 9 Bài 22 (có đáp án): Cao trào cách mạng tiến tới tổng khởi nghĩa tháng 8 năm 1945,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-22-co-dap-an-cao-trao-cach-mang-tien-toi-tong-khoi-nghia-thang-8-nam-1945
Trắc nghiệm Lịch Sử 9 Bài 23 (có đáp án): Tổng khởi nghĩa tháng 8 năm 1945 và sự thành lập nước,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-23-co-dap-an-tong-khoi-nghia-thang-8-nam-1945-va-su-thanh-lap-nuoc
Trắc nghiệm Lịch Sử 9 Bài 24 (có đáp án): Cuộc đấu tranh bảo vệ và xây dựng chính quyền dân chủ nhân dân,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-24-co-dap-an-cuoc-dau-tranh-bao-ve-va-xay-dung-chinh-quyen-dan-chu-nhan-da
Trắc nghiệm Lịch Sử 9 Bài 25 (có đáp án): Những năm đầu của cuộc kháng chiến toàn quốc chống thực dân Pháp,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-25-co-dap-an-nhung-nam-dau-cua-cuoc-khang-chien-toan-quoc-chong-thuc-dan-p
Trắc nghiệm Lịch Sử 9 Bài 26 (có đáp án): Bước phát triển mới của cuộc kháng chiến toàn quốc chống thực dân Pháp (1960 – 1963),https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-26-co-dap-an-buoc-phat-trien-moi-cua-cuoc-khang-chien-toan-quoc-chong-thuc
Trắc nghiệm Lịch Sử 9 Bài 27 (có đáp án): Cuộc kháng chiến toàn quốc chống thực dân Pháp kết thúc (1953 – 1954),https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-27-co-dap-an-cuoc-khang-chien-toan-quoc-chong-thuc-dan-phap-ket-thuc-1953
"Trắc nghiệm Lịch Sử 9 Bài 28 (có đáp án): Xây dựng xã hội chủ nghĩa ở miền Bắc, đấu tranh chống đế quốc Mĩ và chính quyền Sài Gòn ở miền Nam (1954-1965)",https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-28-co-dap-an-xay-dung-xa-hoi-chu-nghia-o-mien-bac-dau-tranh-chong-de-quoc
"Trắc nghiệm Lịch Sử 9 Bài 29 (có đáp án): Cả nước trực tiếp chiến đấu chống mĩ, cứu nước (1965-1973)",https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-29-co-dap-an-ca-nuoc-truc-tiep-chien-dau-chong-mi-cuu-nuoc-1965-1973
Trắc nghiệm Lịch Sử 9 Bài 30(có đáp án): Hoàn thành giải phóng miền Nam thống nhất đất nước (1973-1975),https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-30co-dap-an-hoan-thanh-giai-phong-mien-nam-thong-nhat-dat-nuoc-1973-1975
Trắc nghiệm Lịch Sử 9 Bài 31 (có đáp án): Việt Nam trong những năm đầu sau đại thắng mùa xuân 1975,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-31-co-dap-an-viet-nam-trong-nhung-nam-dau-sau-dai-thang-mua-xuan-1975
"Trắc nghiệm Lịch Sử 9 Bài 32 (có đáp án): Xây dựng đất nước, đấu tranh bảo vệ Tổ quốc (1976 -1985)",https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-32-co-dap-an-xay-dung-dat-nuoc-dau-tranh-bao-ve-to-quoc-1976-1985
Trắc nghiệm Lịch Sử 9 Bài 33 (có đáp án): Việt Nam trên đường đổi mới đi lên Xã hội chủ nghĩa,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-33-co-dap-an-viet-nam-tren-duong-doi-moi-di-len-xa-hoi-chu-nghia
Trắc nghiệm Lịch Sử 9 Bài 34 (có đáp án): Tổng kết lịch sử Việt Nam từ sau chiến tranh thế giới thứ nhất đến năm 2000,https://vietjack.me/kiem-tra-thi-thu/trac-nghiem-lich-su-9-bai-34-co-dap-an-tong-ket-lich-su-viet-nam-tu-sau-chien-tranh-the-gioi-thu-nha
